他天生皮肤白，怎么晒都晒不黑。	伊/是/白肉底/，/按怎/曝/嘛/曝/袂/乌/。
叫到那个软脚虾，不会做事，有什么用？	叫/甲/彼/箍/软跤虾/袂/做/代志/，/有/啥物/路用/？
看这个情势，他想赢就得拚命才行。	看/这/个/势面/，/伊/欲/赢/就/爱/诚/拚咧/。
头发去剪一剪。	头鬃/去/铰铰咧/。
你不要再纠缠不清了。	你/莫阁/伫/遐/缨缠矣/。
这是他的意见。	这/是/伊/的/提议/。
你不要一天到晚四处乱跑。	你/毋好/一日到暗/抛抛走/。
他的头发很乌黑柔软。	伊/的/头鬃/乌金/柔软/。
他躲到乡下去，最后还是被债主找到。	伊/走去/覕/伫/庄跤/，/归尾/嘛/是/予/债主/揣着/。
小草快点除一除，才不会长得到处都是。	草仔/紧/薅薅咧/，/才/袂/生/甲/满四界/。
我们来打赌，看谁说得对。	咱/来/输赢/，/看/啥人/讲的/较/着/。
没有证据不要在那里胡说八道。	无/证据/毋通/伫/遐/吐怜涎/。
一大早就大雾笼罩，开车要小心。	透早/就/罩雾/，/驶车/爱/细腻/。
我那本书你有看见吗？	我/彼/本/册/你/敢/有/看见/？
过年时，人们总会说上几句吉祥话。	过年时仔/，/人/拢/会/讲/几句仔/好话/。
我决定请半个月的假期去玩。	我/决定/欲/请/半/月日/的/假/来去/𨑨迌/。
早上去比较不会热。	下早仔/去/较/袂/热/。
今天住在这里，明天再回去。	今仔日/踮/遮/，/明仔载/才/转去/。
他喝得很醉。	伊/啉/甲/真/醉/。
我们如果到别人家里就要有礼貌一点。	咱/若/去/别人/兜/就/爱/较/客气咧/。
要不然你们两个交换好了，他站前面，你站后面。	无/，/恁/两/个/相换/好矣/，/伊/徛/头前/，/你/徛/后壁/。
看你还差多少，我来设法。	看/你/阁/欠缺/偌济/，/我/来/想/办法/。
专业的事情外行的人做不来。	专业/的/代志/外行的/做/袂/来/。
这句话你不要转述。	这/句/话/你/毋通/过喙/。
金钱不是万能的。	金钱/毋/是/万能的/。
各人的东西，各人自己做记号。	随/人/的/物件/，/随/人/做/记号/。
养猫来抓老鼠。	饲/猫/来/掠/鸟鼠/。
你们是在发疯吗？那么冷还要去游泳。	恁/是/咧/起痟呢/？/遐尔仔/寒/阁/欲/去/泅水/。
要去卖场添购一些日用品！	爱/来去/卖场/补添/一寡/日用品/！
他们正在吵架，你稍微帮他们调停一下。	𪜶/当咧/冤家/，/你/小/共/𪜶/排解一下/。
大家互相帮忙不要计较。	逐家/互相/帮助/莫/计较/。
他是为什么斥责你？	伊/是/按怎/咧/嚷你/？
巷底有人办丧事在做法会。	巷仔底/有/人/办/丧事/咧/做/功德/。
每个人都要努力追求自己的目标。	逐/个/人/拢/爱/拍拚/追求/家己/的/目标/。
双方在吵架，一方见苗头不对，赶紧再叫人来。	两爿/咧/冤家/，/一爿/看/毋是势/，/紧/阁/落人/来/。
话说得太离谱，会被人家嘲笑。	话/讲了/伤/离经/，/会/予/人/笑/。
你是瘸手是不是？东西拿到掉下去。	你/是/瘸手/是无/？/物件/提/甲/落落去/。
鞋子不合脚。	鞋仔/无/合/跤/。
我一定要和你比拼个高下！	我/一定/欲/佮/你/拚/一下/悬低/！
这家餐厅很有名喔。	这/间/餐厅/真/有名喔/。
你不要跟前跟后。	你/莫/缀前缀后/。
买两只小鸡来饲养。	买/两/只/鸡仔囝/来/饲/。
讲话要小声一点，才不会去吵到别人。	讲话/爱/较/细声咧/，/才/袂/吵着/别人/。
对着他的头敲下去。	对/伊/的/头壳/硞落去/。
我建议你去买那间房子。	我/建议/你/去/买/彼/间/厝/。
他的字很生硬。	伊/写/的/字/柴柴/。
要过年了，你可以去结清帐目了。	欲/过年矣/，/你/听好/去/清数矣/。
这块布料的质地不错。	这/块/布/布身/袂䆀/。
他那个人真残忍。	伊/彼/个/人/真/酷刑/。
你发疯了，我才不跟你发疯咧。	你/咧/痟/，/我/无/欲/缀/你/痟/。
今天的天气真热。	今仔日/真/热/。
他前几天才去世的。	伊/顶日仔/才/无去的/。
这条路都是泥泞。	这/条/路/真/湳/。
他才退伍没多久，就多方请人协助就业。	伊/才/退伍/无偌久/，/就/央三托四/欲/揣/头路/。
我从来没见过这么丑陋的女人。	我/从到今/毋/捌/看过/遮尔仔/㾀势/的/查某/。
我不小心摔了一跤，眼冒金星，差一点昏倒。	我/无细腻/去/跋/一/倒/，/目睭/出/火金星/，/差/一屑仔/就/昏倒/。
他说话口齿不清，我都听不懂。	伊/讲话/臭奶呆/，/我/听/拢/无/。
嘴好馋喔，我们来吃零食好不好？	足/馋的/，/咱/来/食/四秀仔/好无/？
我的钱被歹徒抢个精光。	我/的/钱/予/歹人/剥去矣/。
他光着脚在外面玩水。	伊/褪赤跤/伫/外口/耍/水/。
他的财产基业很稳固。	伊/的/家伙/真/沉底/。
他们两个已经退婚了。	𪜶/两/个/已经/退定矣/。
他本来就不识字，怎么会写信？	伊/根本/都/毋/捌字/，/哪/会晓/写/批/？
不要的东西暂时放在小屋子。	无爱/挃/的/物件/暂时/囥/伫/间仔/。
他吃晚饭的时候，都会小酌一番。	伊/食/暗顿/的/时/，/拢/会/嗺一下/。
快要收摊的时候，他才抵达。	将近/欲/收担/的/时阵/，/伊/才/到位/。
那个坏心肠的人，早晚会有报应。	彼/个/乌心肝/的/人/，/早慢/会/有/报应/。
我刚刚看到两个女人在街上互骂。	我/拄才/看着/两/个/查某人/伫/街仔路/相骂/。
你不要这么三八。	你/毋通/遐/八珍/。
医生叫你少吃生冷食物，你还吃冰？	医生/叫/你/生冷/较/莫/食/，/你/阁/食/冰/？
东西不要遗漏。	物件/毋通/落勾/。
刚刚好与成本相当。	拄仔好/够本/。
他在给小孩子把尿。	伊/咧/共/囡仔/嘘尿/。
她们姑嫂俩很有得聊。	𪜶/两/个/兄嫂/小姑/诚/有/话/讲/。
作业太多，星期日写一整天也写不完。	宿题/伤/济/，/礼拜日/写/规工/嘛/写/袂/了/。
今晚要来我们家作客吗？	下暗/欲/来/阮/兜/予/阮/请无/？
你们不要再争吵了啦！	恁/莫/阁/吵矣啦/！
他是溺水死的。	伊/是/驻水/死的/。
他的身体受得了这种粗重的工作吗？	伊/的/身体/敢/会堪得/这/款/粗重/的/工课/？
缺德的事情我们千万不要做。	失德/的/代志/咱/千万/毋通/做/。
再不起床，你会来不及。	阁/毋/起床/，/你/会/袂赴/。
今天是我值班。	今仔日/是/我/当值/。
他做人很老实。	伊/做人/真/老实/。
我失手将茶杯打破了。	我/一/个/失手/煞/共/茶杯仔/拍破去/。
这间房子价值多少？	这/间/厝/值/偌济/钱/？
他就像牛螕一样，要叫他出钱是不可能的事情。	伊/敢若/牛螕咧/，/欲/叫/伊/出/钱/是/无/可能/的/代志/。
他气了一下血压升得很高。	伊/气/一下/血压/冲/诚/悬/。
事情要从那里着手才好？	代志/欲/对/佗位/落手/才/好/？
这回他去碰到棘手的难题了。	这/摆/伊/去/踢着/铁枋矣/。
他在那间银行有一个帐户。	伊/伫/彼/间/银行/有/一/个/口座/。
你为什么每次都会忘记，实在很散漫。	你/是按怎/逐/摆/拢/会/袂记得/，/实在/有够/脱线/。
烟一直冲出来。	烟/一直/冲出来/。
这棵树有三个人合抱那么大。	这/欉/树仔/有/三/寻/大/。
你的女儿长得很漂亮。	恁/这位/千金/生做/真/媠/。
撑开他的嘴才能够灌药。	喙/共/弓开/才/会当/灌/药仔/。
他又对我冷嘲热讽了。	伊/阁/咧/共/我/供体矣/。
这是重要的契约，你不要撕毁了。	这/是/要紧/的/契约/，/你/毋通/拆破/。
两个人抱在一起。	两/个/人/相寻/。
那个孩子很顺从听话。	彼/个/囡仔/真/受债/。
他出事的那个时候，我正在家里。	伊/出代志/彼时/，/我/伫/厝里/。
要下班的时候，帐簿要收好，锁起来。	欲/下班/的/时/，/数簿/爱/收/好势/，/锁起来/。
他对我这么好，我却无法帮他忙，内心觉得很过意不去。	伊/对/我/遮尔/好/，/我/煞/无/法度/共/伊/斗相共/，/心内/感觉/真/亏欠/。
酒厂买葡萄去酿酒。	酒厂/买/葡萄/去/激酒/。
事情办得很妥善。	代志/做了/真/四序/。
现代网路方便进步，有很多人在脸书上面跟人认识，培养感情。	现代/网路/方便/进步/，/有/足/济/人/是/伫/面册/顶悬/佮/人/相捌/、/盘撋/。
这个小孩很机灵。	这/个/囡仔/足/精的/。
他决定要公开所有的事情。	伊/决定/欲/公开/所有/的/代志/。
我的大舅子后天要去宜兰。	阮/大舅/后日/欲/去/宜兰/。
一切都是他在暗中操纵，与别人无关。	一切/拢/是/伊/咧/牵线/，/佮/别人/无底代/。
他今天晚上去旅馆住宿。	伊/下暗/去/旅社/歇暝/。
这块布拿去沾水。	这/块/布/提去/揾/水/。
他鬼鬼祟祟的，不晓得又要耍什么花样了。	伊/鬼鬼祟祟/，/毋/知/阁/欲/变啥魍矣/。
这里晚上很热闹。	遮/暗时/真/闹热/。
买票看这种平淡无奇的戏，真的是浪费钱。	买/票/看/这/种/白汫无味/的/戏/真正/是/无彩/钱/。
这几天淫雨霏霏，路面常常都很湿滑。	这/几/日/雨澹水滴/，/路/不时/拢/𣻸塌塌/。
他吓得脸色发青。	伊/惊/甲/面仔/青恂恂/。
他全身都是病痛。	伊/规身躯/全/毛病/。
我用手扑到一只蝴蝶。	我/用/手/欱/着/一/只/蝶仔/。
这块原木桌的纹路很美。	这/块/原木/桌仔/的/线路/真/媠/。
我再怎么解释他都不相信。	我/较/按怎/解说/伊/都/毋/信/。
他的三叔公去世了。	𪜶/三/叔公/老去矣/。
阿英虽然是前妻的小孩，不过他的后母一样对他疼爱有加。	阿英/虽然/是/前人囝/，/毋过/𪜶/后母/仝款/共/伊/惜命命/。
不用你鸡婆，我家的事情我自己会处理。	免/你/多事/，/阮/兜/的/代志/我/家己/会/处理/。
职务上有这个需要。	职务/上/有/这个/需要/。
我没听到你说什么。	我/无/听着/你/咧/讲/啥/。
我要走运了，现在开始赚钱啰！	我/欲/出运矣/，/这马/开始/欲/趁/大/钱啰/！
他吓得半死。	伊/惊/一下/半小死/。
树脂点火比油灯还亮。	柴𣗊/点/火/较/光/油/。
用热水烫的不好吃。	㴘的/无/好/食/。
薪水给他东扣西扣就所剩无几了。	薪水/予/伊/三除四扣/就/䞐/无/偌济矣/。
揭发人家的隐私。	刺/人/的/根底/。
你做事情不要犹豫不决。	你/做/代志/毋通/三心两意/。
抽烟抽上瘾是不好的事，你要戒掉。	薰/食/牢咧/毋/好/，/你/着爱/改/。
鱼肚肉较肥较好吃。	鱼仔/的/膁肚/较/肥/较/好/食/。
常常吃蔬菜比较不会高血压。	定定/食/菜/较/袂/高血压/。
让他管理帐务我比较放心。	予伊/扞数/我/较/放心/。
只有一袋而已，要用单边吊挂，不能用双边挑起。	干焦/一/袋/尔尔/，/爱/用/掮的/，/袂使/用/担的/。
他今天生病不舒服，没去上课。	伊/今仔日/人/艰苦/，/无去/上课/。
这个碗比较深，能盛比较多的汤。	这/块/碗/较/深/，/会使/贮/较/济/汤/。
这把椅子放在这里很占地方。	这/只/椅仔/囥/伫/遮/诚/镇位/。
你不要为难他。	你/莫/共/伊/刁古董/。
他不是故意的。	伊/毋/是/刁意故的/。
孩子的成就是父母的骄傲。	囡仔/的/成就/是/爸母/的/骄傲/。
拳头对着胸部重击下去。	拳头拇/对/胸坎/贯落去/。
这个封口没封好。	这/个/封喙/封/无/好势/。
他们的继父是一个勤俭的人。	𪜶/后叔/是/一/个/勤俭/的/人/。
那间餐厅，桌椅、地面到处湿滑油腻，很不卫生。	彼/间/餐厅/，/椅桌/、/涂跤/一四界/𣻸塌塌/，/真/无/卫生/。
肚子胀起来。	腹肚/胀起来/。
大人在处理事情，小孩子不要来添麻烦。	大人/咧/处理/代志/，/囡仔人/毋通/来/斗闹热/。
你想做生意，卫生也得讲究。	你/生理/欲/做/，/卫生/嘛/爱/讲究/。
今天在高速公路上发生一件翻车的意外。	今仔日/伫/高速/公路/发生/一/件/反车/的/意外/。
你缺钱用就来告诉我，我可以借你。	你/有/欠用/就/来/共/我/讲/，/我/会当/借你/。
他的脚骨被挤到。	伊/跤骨/去/挤着/。
我们都是自己人，不用这么多礼。	咱/拢/是/家己/的/人/，/毋免/遮尔仔/厚礼数/。
他的食量真的很大，一餐可以吃掉六碗饭。	伊/亲像/大肚胿/，/一/顿/会当/食/六/碗/饭/。
他仍旧在那里等你。	伊/犹原/伫/遐/咧/等你/。
弯腰把掉在地上的东西捡起来。	向腰/共/落/伫/涂跤/的/物件/抾起来/。
洗澡的时候肚脐也要洗干净。	洗/身躯/的/时/肚脐/嘛/爱/洗/予/清气/。
他要我借钱给他，我不愿意。	伊/叫/我/钱/借伊/，/我/袂/瘾/。
这个月是生意淡季，来我们店里捧场的人比较少。	这/个/月/是/小月/，/来/阮/店/交关/的/人客/有/较/少/。
听说那间房子有凶物。	听/讲/彼间/厝/有/歹物/。
小孩子出痲疹的时候不要带他出门。	囡仔/出癖/的/时阵/毋通/共/伊/𤆬/出去/。
晚上坐在窗边，我都可以看到五彩缤纷的灯光闪烁不停。	暗时/坐/伫/窗仔门/边/，/我/拢/有/看着/五彩/的/灯火/闪闪烁烁/。
要不是他欺人太甚，大家也不会跟他计较。	若/毋/是/伊/食人够够/，/逐家/嘛/袂/佮/伊/计较/。
他的妻子很早就过世了，剩父子俩一起生活。	𪜶/某/真/早/就/过身/，/䞐/爸仔囝/两/人/做伙/过日子/。
我要准备下山了。	我/欲/准备/下山矣/。
从他的脑袋敲下去。	对/伊/的/头壳/敱落去/。
你家靠近哪个方向？	恁/兜/倚/伫/佗/一/角/？
孩子怕生，牢牢抓住母亲的衣角！	囡仔/惊/生份/，/共/老母/的/衫仔尾/扱牢牢/！
洗得不干净。	洗/了/无/清气/。
我收到一张讣闻。	我/收着/一/张/白帖仔/。
不要站得太靠近，会跌下去。	莫/徛/伤/临/，/会/跋落去/。
你站在那里做什么？	你/徛/伫/遐/创/啥物/？
一句话传来传去。	一/句/话/盘/来/盘/去/。
他刚开始说好，之后又说不要了。	伊/头先/讲/好/，/尾手/阁/讲/无/爱/。
我顶他的缺。	我/顶/伊/的/缺/。
他向车站方向走去。	伊/行/对/车头/去/。
小孩子会长大，迟早得要离开。	囡仔/会/大/，/早慢/是/爱/离开/。
转角的房子来做店面最合适。	三角窗/的/厝/来/做/店面/上/好/。
他的所做所为让人很欣赏。	伊/的/作为/予/人/诚/欣赏/。
请问你多大年纪？	请问/你/贵庚/？
他确实在洗碗啦！	伊/有/咧/洗/碗啦/！
他发生车祸，把犬齿给撞断了。	伊/出车祸/挵断/一/齿/角齿/。
每一项都准备得很齐全。	逐项/拢/准备/甲/真/完全/。
我做事情很笨拙，就请你多多指教。	我/做/代志/真/顸颟/，/你/就/加/共/我/差教咧/。
他的经历真丰富。	伊/的/经历/真/丰富/。
他泡茶，得用洗茶杯的大碗洗茶杯，非常讲究。	伊/泡茶/，/着/用/茶洗/洗/茶瓯/，/有够/工夫/。
钱我上次就已经缴了。	钱/我/顶摆/就/纳去矣/。
他们两人的私交很好。	𪜶/两/人/的/私交/诚/好/。
你现在正火冒三丈，千万不要做决定。	你/这马/当咧/心狂火着/，/千万/毋通/做/决定/。
做生意要先谈好条件，以后才不会有纠纷。	做生理/着爱/先/品明/，/以后/才/袂/有/纠纷/。
你一切都要照规定来做，不能自作主张。	你/一切/着/爱/按照/规定/来/行/，/毋通/家己/大主大意/。
他昨天去买了一部轿车。	伊/昨昏/去/牵/一/台/轿车/。
袖子着火了。	手䘼/着火矣/。
我已经泡一杯浓茶来给你解酒。	我/已经/泡/一/杯/厚/茶/欲/予/你/解酒/。
这次的婚礼办得很圆满。	这/改/的/婚礼/办/了/真/圆满/。
公司没赚钱，很多股东都想要退出股分。	公司/无/趁钱/，/真/济/股东/拢/想欲/退股/。
一月一日很多人去庙里拜拜。	正月初一/真/济/人/去/庙里/拜拜/。
这班车直达花莲，中间没停。	这/帮/车/直透/花莲/，/中间/拢/无/停/。
今生父子前世因。	会/做/爸囝/是/相欠债/。
时间已经逼近了。	时间/已经/迫近矣/。
前面路口右转就到了。	头前/路口/斡/正爿/就/到矣/。
以手用力摩擦搓揉。	用/手/出力/共/伊/黜/。
我早就看穿你了。	我/早/就/共/你/看出出矣/。
他是水电工啦！	伊/是/做/水电的啦/！
你如果要去买菜，顺便帮我缴电费。	你/若/欲/去/买/菜/，/顺绁/去/共/我/纳/电火/钱/。
银行把这间工厂的银根抽回去。	银行/共/这/间/工厂/的/钱根/抽转去/。
明天以前必须把事情处理好。	明仔载/以前/爱/共/代志/做/予/伊/好势/。
没把握的事不要做。	无/把握/的/代志/毋通/做/。
他准备的资料是否齐全？	伊/准备/的/资料/有/齐全无/？
他们兄弟俩为了拚生意，就这样断绝关系，不相往来。	𪜶/两/兄弟仔/为着/拚/生理/，/就/按呢/一刀两断/无/来去/。
你再怎么说，他还是听不进去。	你/阁/按怎/讲/，/伊/也/是/听/袂/入耳/。
事情过了之后，就不要再提起。	代志/过后/，/就/莫/阁/提起/。
不小心让他偷跑走了。	无/注意/去/予/伊/溜去矣/。
这块布的缝隙较大较粗糙。	这/块/布/布目/较/疏/。
这个小孩很慷慨大方。	这/个/囡仔/诚/分张/。
事情很复杂。	代志/诚/交缠/。
他们两人已经分手了。	𪜶/两/人/已经/煞戏矣/。
火车要起动行驶了，不要靠近！	火车/欲/起磅矣/，/毋通/倚去/！
他只是孤家寡人而已，身无长物。	伊/干焦/一/身/人/尔尔/，/无/长/半/项/。
只要有你，事情就会成功。	只要/有/你/，/代志/就/会/成功/。
好事不来，坏事争着来告知。	好空的/毋/来/，/歹空的/相争/报/。
这个接合处没黏好，快要裂开了。	这/个/接喙/黏/无/好势/，/强欲/裂开矣/。
大家协力把门撞开。	逐家/合力/共/门/挵开/。
医生说他贫血，必须多吃一些比较营养的食物。	医生/讲/伊/欠血/，/着爱/加/食/一寡/较/营养/的/物件/。
他在院子里扫地。	伊/伫/埕斗/咧/扫/涂跤/。
这个这么贵，不要买啦！	这/遮/贵/，/莫/买啦/！
水滚到冒出来了！	水/滚/甲/浡出来矣/！
这样搞，行不通啦。	按呢/创/，/袂做得/。
他摆臭脸是在不高兴什么？	伊/激/一/个/沤屎面/是/咧/无/欢喜/啥/？
淡水在卖的鱼酥很好吃。	淡水/咧/卖/的/鱼酥/真/好/食/。
昨夜母狗不知怎么一直在悲鸣。	昨暝/狗母/毋知/按怎/一直/吹狗螺/。
当票如果不见了，你的金项链就要不回来了。	当票/若/无去/，/你/的/金链仔/就/提/袂/转来矣/。
他们夫妻两一个凶悍一个暴躁，不知怎么相处。	𪜶/翁仔某/一个/虎豹母/一个/雷公性/，/毋知/按怎/斗阵/。
很久没来拜访你了。	真/久/无/来/拜候你矣/。
他怎么会这么没用，连这件事情都办不好。	伊/哪/会/遐尔仔/落屎马/，/连/这/件/代志/嘛/做/袂/好/。
莲蓬头塞住了，需要清理一下。	莲花头/窒咧/，/着爱/清清咧/。
她美得像仙女。	伊/媠/甲/若/仙女/。
想不到他们两个人会冤家变亲家。	想/袂/到/𪜶/两/个/会/冤家/变/亲家/。
搞得整件衣服都黑掉了。	酱/甲/规/领/衫/拢/乌去/。
他每次都要挑我的语病。	伊/逐/改/拢/爱/钻/我/的/话缝/。
车要来了，不快走会来不及。	车/欲/来矣/，/无/紧/行/会/袂/赴/。
阿仁很固执，都不愿听别人的意见。	阿仁/诚/固执/，/拢/无/欲/听/别人/的/意见/。
没有人能够阻挡我去完成这件事情。	无人/会当/阻挡/我/去/完成/这/件/代志/。
听他讲那些话，真会被他气死。	听/伊/讲/遐的/话/，/真正/会/予/伊/恼死/。
我叫我儿子帮我顾摊子，他竟开溜去跟人家打撞球。	我/叫/阮/囝/共/我/斗/顾担/，/伊/煞/阆港/去/佮/人/撞球/。
不要在那里装神弄鬼了啦。	莫/伫/遐/假鬼假怪矣啦/。
外面在下雨，等雨停了再去。	外口/咧/落雨/，/等/雨/停/才/来去/。
这项生意风险很高，你不要没想清楚就深入去参与。	这/项/生理/风险/真/悬/，/你/毋通/无/斟酌/想/就/蹽落去/。
我的点数都很高。	我/的/点/数/拢/真/悬/。
他一定是感冒了，所以今天才没有来。	伊/的确/是/去/寒着/，/今仔日/才/无/来/。
那个畜生若让我遇到，我绝对不与他善罢干休。	彼/个/精牲/若/予/我/拄/着/，/我/绝对/无/放/伊/煞/。
他有痚喘，睡觉打呼，好吵喔。	伊/带/痚呴/，/困/甲/鼾鼾叫/，/足/吵的/。
为人处事必须认真努力，才会有出息。	做人/爱/认真/拍拚/，/才/会/有/出脱/。
人总会犯错，你就大事化小，小事化无，寛容原谅他。	人/总是/会/做/毋着去/，/你/就/大事/化/小/，/小事/化/无/，/放目/谅情伊/。
东西我都准备好了。	物件/我/拢/攒好矣/。
大家好好配合，赶快做完。	逐家/较/斗搭咧/，/紧/做/予/煞/。
往脚上打下去。	对/跤骨/共/扷落去/。
星期假日，朋友相约外出吃大餐。	礼拜时仔/，/朋友/相招/出去/食/好料/。
用力对着他的胸部揍下去。	出力/对/伊/的/胸坎/舂落去/。
他们要去的地方你知道位置吗？	𪜶/欲/去/的/所在/你/敢/知位/？
我们两个一起去玩。	咱/两/个/做伙/来去/𨑨迌/。
他已经走遍台湾全岛。	伊/已经/台湾/全/岛/行透透矣/。
那种饼干松脆易散，老年人也能轻易吃。	彼/款/饼/梢梢/，/老岁仔/嘛/食/有/法/。
他夜以继日的做事，恐怕会伤身。	伊/做/工课/做/甲/无暝无日/，/恐惊/会/拍歹/身体/。
你不要常常向你母亲伸手要钱。	你/莫/不时/共/恁/老母/伸长手/。
我使眼色跟他暗示，他就沉默了。	我/共/伊/使目箭/，/伊/就/恬去矣/。
水沉淀之后，沙土全都沉积在底部了。	水/坐清/了后/，/涂沙/拢/沉底矣/。
他在路上凑巧遇见债权人。	伊/伫/半路仔/注死/去/拄着/债主/。
他们两夫妻前天就出国去玩了。	𪜶/两/翁仔某/昨日/就/出国/去/𨑨迌矣/。
他戒酒以后，人较有精神了。	伊/改酒/了后/，/人/加/真/有/精神/。
你水倒得太满。	你/水/斟/了/伤/滇/。
人家说：「怕老婆是大丈夫，打老婆是猪狗牛。」你要好好疼惜你的老婆才对。	人/讲/：/「/惊/某/大丈夫/，/拍/某/猪狗牛/。/」/你/着爱/好好仔/疼惜/恁/牵手/才/着/。
说不定那件事就是他做的。	无定着/彼/件/代志/就/是/伊/做的/。
